,school,Medu,Fedu,guardian,traveltime,studytime,failures,schoolsup,famsup,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,address_type_Urban,famsize_BIG_FAMILY,Pstatus_Together,Mjob_at_home,Mjob_health,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_services,Fjob_teacher,reason_course,reason_home,reason_reputation,tutor,Testcol
102,GP,4,4,mother,1,1,0,0,1,1,0,1,1,0,5,3,3,1,1,5,2,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,30.0
103,GP,3,2,mother,2,2,0,1,1,0,1,1,1,0,4,3,5,1,1,2,16,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,15.25
104,GP,3,4,mother,1,2,0,0,1,1,1,1,1,0,5,4,4,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,23.75
105,GP,3,3,father,1,4,0,1,0,0,1,1,0,0,4,3,3,1,1,4,10,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,15.5
106,GP,2,2,mother,1,4,0,1,1,0,1,1,1,0,5,1,2,1,1,3,4,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,19.0
107,GP,3,3,father,1,3,0,0,1,1,1,1,1,0,5,3,3,1,1,5,4,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,27.5
108,GP,4,4,father,4,4,0,0,1,1,1,1,1,1,1,3,5,3,5,1,8,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,14.0
109,GP,4,4,mother,1,3,0,0,1,1,1,1,1,1,5,4,5,1,1,4,2,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,27.0
110,GP,4,4,mother,1,1,0,0,0,1,1,1,1,0,5,5,3,1,1,4,4,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,24.0
111,GP,3,3,father,1,3,0,1,1,1,1,1,1,0,4,1,2,1,1,2,4,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,24.5
112,GP,2,2,mother,1,2,1,1,0,1,1,1,1,0,3,1,2,1,1,5,12,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,19.0
113,GP,4,2,mother,1,1,0,0,0,0,1,1,1,0,3,5,2,1,1,3,10,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,14.5
114,GP,2,1,mother,1,2,0,0,0,1,1,1,1,1,5,4,2,1,1,5,4,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,19.75
115,GP,4,4,father,1,2,0,0,1,1,1,1,1,0,5,4,4,1,2,5,6,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,28.0
116,GP,4,4,father,2,2,0,0,1,1,1,1,0,0,4,4,3,1,1,2,4,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,26.0
117,GP,3,3,father,2,1,0,0,0,1,1,1,1,0,5,4,2,1,1,5,6,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,23.5
118,GP,1,3,father,3,2,1,0,1,1,1,1,1,0,5,2,4,1,4,5,14,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,21.0
119,GP,3,4,father,1,1,0,0,0,0,1,1,1,0,3,4,3,1,2,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,14.75
120,GP,1,2,mother,1,2,0,0,0,0,0,1,1,0,3,2,3,1,2,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,6.75
121,GP,2,2,father,1,4,0,0,1,1,1,1,1,0,5,5,4,1,2,5,6,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,23.0
122,GP,2,4,father,2,2,0,0,1,1,1,1,1,1,4,2,2,1,2,5,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,26.5
123,GP,4,4,mother,1,1,0,0,1,1,1,1,1,0,3,4,4,1,4,5,4,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,24.0
124,GP,2,2,mother,1,2,0,0,0,0,1,1,1,1,5,4,4,1,1,5,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,14.0
125,GP,3,4,father,1,1,0,1,0,0,1,1,1,0,5,5,5,3,2,5,2,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,13.75
126,GP,3,4,mother,1,2,0,1,0,1,1,1,1,1,5,3,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20.75
127,GP,0,1,other,1,2,2,0,1,0,0,0,0,0,3,4,2,1,1,5,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,10.25
128,GP,4,4,mother,1,1,0,0,0,1,1,1,1,0,3,5,5,2,5,4,8,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,15.0
129,GP,2,3,mother,2,3,0,0,1,0,0,1,1,1,3,2,3,2,2,1,4,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,13.25
130,GP,3,4,father,2,3,0,0,1,0,1,1,1,1,4,2,2,2,2,5,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,21.75
131,GP,2,1,mother,1,2,3,0,1,1,1,0,1,1,5,4,5,1,3,5,10,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,14.75
132,GP,2,1,mother,3,1,0,0,1,0,1,1,1,0,3,2,2,1,2,5,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16.75
133,GP,1,1,mother,3,1,0,0,1,1,0,1,1,1,4,3,3,1,2,4,6,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,19.5
134,GP,2,2,father,1,1,0,0,1,0,1,1,1,1,3,4,4,1,3,5,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,15.0
135,GP,3,4,father,1,1,0,0,0,0,1,1,1,0,3,2,1,1,4,5,12,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,15.75
136,GP,2,1,mother,4,1,0,0,0,0,1,1,0,0,3,2,1,1,1,2,4,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,10.75
137,GP,2,2,mother,1,1,1,0,0,0,1,1,0,0,5,3,4,1,1,5,12,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,14.0
138,GP,3,4,mother,4,2,0,0,1,0,1,1,0,1,5,3,3,1,1,5,2,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,23.75
139,GP,4,4,mother,1,3,0,0,1,1,1,1,1,1,4,3,3,1,1,5,4,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,29.0
140,GP,3,4,mother,3,2,0,0,0,0,1,1,0,0,5,4,5,2,4,5,2,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,12.75
141,GP,1,1,mother,4,2,0,0,1,0,1,1,0,0,5,1,3,1,1,3,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,15.5
142,GP,3,1,mother,2,1,0,0,0,1,1,1,1,1,3,3,4,4,5,4,2,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,9.0
143,GP,3,2,other,1,3,0,0,1,1,0,1,1,1,4,3,3,5,1,5,10,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,21.25
144,GP,1,1,mother,2,1,0,0,1,1,1,1,0,1,3,3,3,1,2,1,8,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,15.5
145,GP,3,3,other,2,1,0,0,1,1,0,1,1,1,4,3,2,1,1,5,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,27.5
146,GP,1,1,mother,1,2,2,0,0,0,1,1,0,1,4,4,4,1,3,5,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,8.5
147,GP,4,4,mother,2,1,0,0,0,1,1,1,1,0,4,3,2,1,1,5,6,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,25.0
148,GP,1,1,mother,3,1,1,0,0,1,1,1,1,1,5,5,5,1,1,1,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,11.5
149,GP,4,3,father,2,4,0,1,1,0,1,1,1,0,2,2,2,1,1,3,6,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,19.75
150,GP,3,3,mother,1,2,0,0,0,0,0,1,0,1,1,3,2,2,3,1,24,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,7.5
151,GP,4,4,mother,1,3,0,0,1,1,1,1,1,0,5,3,3,1,3,5,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,28.0
152,GP,2,2,father,2,1,0,0,1,1,1,1,1,0,2,3,3,2,2,2,4,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,17.0
153,GP,4,4,mother,1,3,0,0,1,1,1,1,1,0,4,2,2,1,1,5,2,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,30.0
154,GP,1,1,mother,1,1,0,0,0,0,1,1,1,0,3,4,4,3,3,1,4,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1.5
155,GP,2,1,mother,1,1,0,0,1,0,1,1,1,0,5,4,5,1,2,5,22,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,15.75
156,GP,1,1,father,1,2,0,0,1,0,1,1,1,0,4,4,2,1,2,5,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,16.5
157,GP,2,1,mother,2,1,0,0,1,1,1,0,1,1,4,4,2,1,1,5,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,18.75
158,GP,3,2,father,1,2,1,0,1,0,1,1,1,0,3,3,2,1,1,3,2,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,18.25
159,GP,1,2,mother,1,2,0,0,1,0,0,1,1,0,4,3,2,1,1,5,6,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,18.75
160,GP,1,2,father,1,2,0,0,0,0,0,1,0,1,2,3,4,2,4,1,6,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1.75
161,GP,4,4,mother,1,1,0,0,1,0,1,0,1,1,3,3,2,2,1,5,16,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,18.0
162,GP,2,1,mother,4,1,0,0,0,0,1,1,1,0,4,5,5,2,5,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5.75
163,GP,1,1,mother,1,1,2,0,0,0,1,0,1,1,2,3,5,2,5,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-3.5
164,GP,2,1,mother,1,1,1,0,0,1,1,1,0,1,4,4,4,3,5,5,6,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,10.75
165,GP,3,3,other,2,3,0,0,1,1,1,1,1,1,4,2,1,2,3,3,2,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,23.5
166,GP,3,2,mother,1,1,0,0,1,0,1,0,1,1,4,5,4,1,1,4,6,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,13.25
167,GP,4,4,mother,1,1,0,1,1,0,1,1,0,1,4,2,1,1,1,4,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,25.0
168,GP,2,3,mother,1,2,0,1,0,1,1,1,0,0,4,4,4,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,15.25
169,GP,1,2,mother,1,1,3,0,0,0,1,1,0,0,2,2,2,3,3,5,14,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7.75
