,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,address_type_Urban,famsize_BIG_FAMILY,Pstatus_Together,Mjob_at_home,Mjob_health,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_services,Fjob_teacher,reason_course,reason_home,reason_reputation,tutor
18,3,2,1,1,3,0,1,1,1,1,1,0,5,5,5,2,4,5,16,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0
19,4,3,1,1,0,0,0,1,1,1,1,0,3,1,3,1,3,5,4,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1
20,4,3,1,2,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
21,4,4,1,1,0,0,1,0,1,1,1,0,5,4,2,1,1,5,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1
22,4,2,1,2,0,0,0,1,1,1,1,0,4,5,1,1,3,5,2,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
23,2,2,2,2,0,0,1,1,1,1,1,0,5,4,4,2,4,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
24,2,4,1,3,0,1,1,1,1,1,1,0,4,3,2,1,1,5,2,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1
25,2,2,1,1,2,0,1,0,0,1,1,0,1,2,2,1,3,5,14,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1
26,2,2,1,1,0,0,1,0,1,1,1,0,4,2,2,1,2,5,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1
27,4,2,1,1,0,0,0,0,1,1,1,0,2,2,4,2,4,1,4,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1
28,3,4,1,2,0,1,1,1,1,1,1,0,5,3,3,1,1,5,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
29,4,4,1,2,0,0,1,1,1,1,1,1,4,4,5,5,5,5,16,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1
30,4,4,1,2,0,0,1,0,0,1,1,0,5,4,2,3,4,5,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1
31,4,4,2,2,0,0,1,1,1,1,1,0,4,3,1,1,1,5,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0
32,4,3,1,2,0,0,1,1,1,1,1,1,4,5,2,1,1,5,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0
33,3,3,1,2,0,0,0,1,0,1,1,0,5,3,2,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
34,3,2,1,1,0,0,1,0,0,1,1,0,5,4,3,1,1,5,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1
35,2,3,2,1,0,0,1,1,1,1,0,0,3,5,1,1,1,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
36,4,3,1,3,0,0,1,1,1,1,1,0,5,4,3,1,1,4,2,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
37,4,4,2,3,0,0,1,1,1,1,1,1,2,4,3,1,1,5,7,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
38,3,4,1,3,0,1,1,1,1,1,1,0,4,3,2,1,1,5,2,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1
39,2,2,1,1,0,1,1,1,1,1,0,0,4,3,1,1,1,2,8,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1
40,2,2,2,2,1,0,1,1,0,1,1,1,3,3,3,1,2,3,25,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
41,4,4,1,1,0,0,1,0,0,1,1,1,5,4,3,2,4,5,8,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
42,4,4,1,2,0,0,1,1,1,1,1,0,4,3,3,1,1,5,2,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0
43,2,2,1,1,0,1,1,0,1,1,1,0,5,4,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0
44,2,2,2,2,1,1,0,1,1,1,1,0,4,3,3,2,2,5,14,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
45,4,3,1,2,0,1,1,1,1,1,1,1,5,2,2,1,1,5,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
46,3,3,1,2,0,0,1,0,1,1,1,0,2,3,5,1,4,3,12,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
47,4,3,1,4,0,0,0,1,1,1,1,0,4,2,2,1,1,2,4,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0
48,4,2,1,2,0,0,1,0,1,1,0,0,4,3,3,2,2,5,2,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1
49,4,4,1,2,1,1,1,1,0,1,1,0,4,4,4,1,1,3,2,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
50,2,2,3,2,0,0,1,0,1,1,1,0,4,3,3,2,3,4,2,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1
51,4,2,1,2,0,0,1,0,1,1,1,0,4,3,3,1,1,5,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
52,4,2,2,1,1,0,0,0,1,1,0,0,5,5,5,3,4,5,6,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
53,4,4,1,1,0,1,1,0,1,1,1,0,3,3,4,2,3,5,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1
54,3,3,1,1,0,0,0,0,1,1,1,0,5,3,4,4,4,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,2,1,1,2,0,0,0,1,1,1,1,1,5,3,4,1,1,2,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
56,4,3,1,2,0,0,1,1,1,1,1,0,4,3,2,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1
57,4,4,1,2,0,0,1,1,1,1,0,0,3,2,2,1,1,5,4,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0
58,1,2,1,2,0,1,1,1,1,1,1,0,4,3,2,1,1,5,2,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
59,4,2,1,2,0,0,1,0,1,1,1,0,4,2,3,1,1,5,2,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0
60,4,4,1,2,0,0,1,1,1,1,0,0,2,4,4,2,3,4,6,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
61,1,1,4,1,0,1,1,1,0,1,1,1,5,5,5,5,5,5,6,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0
62,1,2,1,2,0,1,0,1,1,1,1,0,4,4,3,1,1,1,4,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
63,4,3,1,3,0,1,1,1,1,1,1,0,3,4,4,2,4,4,2,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1
64,4,3,1,2,0,1,0,1,1,1,1,1,4,4,4,2,4,2,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
65,4,3,3,2,0,0,1,1,1,1,1,0,5,4,3,1,2,1,2,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0
66,4,4,1,4,0,0,1,1,0,1,1,1,1,3,3,5,5,3,4,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
67,3,1,1,4,0,1,1,0,1,1,1,0,4,3,3,1,2,5,4,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1
68,2,2,2,2,0,1,1,0,1,1,1,0,4,1,3,1,3,4,2,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
69,3,1,2,4,0,0,1,0,0,1,1,0,4,4,2,2,3,3,12,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
70,3,1,2,4,0,0,1,0,1,1,1,0,4,3,2,1,1,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
71,4,2,1,4,0,0,0,0,1,1,1,0,3,3,3,1,1,3,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
72,1,1,1,2,2,1,1,0,0,1,1,1,3,3,4,2,4,5,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
73,3,1,1,1,0,0,0,1,1,1,0,0,5,3,2,2,2,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
74,3,3,1,2,0,1,1,1,1,1,1,0,4,3,3,2,4,5,54,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1
75,4,3,1,2,0,0,1,1,1,1,1,0,4,3,3,2,3,5,6,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1
76,4,0,2,4,0,0,0,1,1,1,1,0,3,4,3,1,1,1,8,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0
77,2,2,1,4,0,0,0,0,1,1,1,1,5,2,3,1,3,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
78,2,1,2,1,3,1,1,1,1,0,1,0,4,5,1,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
79,3,4,1,2,0,0,1,0,1,1,1,0,2,4,3,1,2,3,12,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
80,2,3,1,1,0,1,1,1,0,1,1,1,3,2,2,1,3,3,2,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1
81,2,3,1,3,0,1,0,0,0,1,1,0,5,3,2,1,2,5,4,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1
82,3,2,1,2,0,0,1,0,1,1,1,0,4,4,4,1,1,5,10,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1
83,2,2,2,2,0,0,0,1,1,1,1,0,5,3,3,1,3,4,4,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1
84,1,1,1,2,0,0,1,1,0,1,1,0,4,3,2,2,3,4,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
85,4,4,2,2,2,0,0,0,1,1,1,1,4,4,4,2,3,5,6,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1
86,2,2,1,2,0,0,1,0,1,1,0,0,4,3,4,1,2,2,4,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
87,4,2,1,3,0,0,1,1,1,1,1,0,5,3,3,1,3,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
88,2,2,2,2,1,0,0,1,0,1,1,0,4,4,2,1,1,3,12,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1
89,4,4,1,2,0,0,1,0,1,1,0,0,4,1,3,3,5,5,18,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
90,3,3,1,3,0,0,1,0,1,1,1,1,4,3,3,1,3,4,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1
91,4,3,1,1,0,0,0,1,1,1,1,0,4,5,5,1,3,1,4,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1
92,3,1,1,2,0,1,1,0,1,1,0,0,3,3,3,2,3,2,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
93,4,2,2,2,0,0,1,1,1,1,1,0,5,3,3,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1
94,2,2,1,4,0,0,1,1,1,1,1,0,4,3,4,1,1,4,6,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
95,1,1,2,4,1,1,1,1,1,1,1,0,3,1,2,1,1,1,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1
96,4,3,2,1,0,1,1,1,0,1,1,0,3,3,3,1,1,4,2,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
97,2,1,1,2,0,0,1,0,1,1,0,1,4,3,5,1,1,5,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1
98,4,4,1,1,0,0,0,1,0,1,1,0,5,3,4,1,2,1,6,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
99,4,3,1,3,0,1,1,0,1,1,1,0,5,3,5,1,1,3,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1
100,4,4,1,1,0,1,1,1,1,1,1,0,4,5,5,5,5,4,14,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1
101,4,4,1,3,0,0,1,1,1,1,1,1,4,4,3,1,1,4,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
102,4,4,1,1,0,0,1,1,0,1,1,0,5,3,3,1,1,5,4,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0
103,3,2,2,2,0,1,1,0,1,1,1,0,4,3,5,1,1,2,26,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1
104,3,4,1,2,0,0,1,1,1,1,1,0,5,4,4,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1
105,3,3,1,4,0,1,0,0,1,1,0,0,4,3,3,1,1,4,10,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
106,2,2,1,4,0,1,1,0,1,1,1,0,5,1,2,1,1,3,8,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1
107,3,3,1,3,0,0,1,1,1,1,1,0,5,3,3,1,1,5,2,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0
108,4,4,4,4,0,0,1,1,1,1,1,1,1,3,5,3,5,1,6,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1
109,4,4,1,3,0,0,1,1,1,1,1,1,5,4,5,1,1,4,4,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1
110,4,4,1,1,0,0,0,1,1,1,1,0,5,5,3,1,1,4,6,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
111,3,3,1,3,1,1,1,1,1,1,1,0,4,1,2,1,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
112,2,2,1,2,1,1,0,1,1,1,1,0,3,1,2,1,1,5,6,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
113,4,2,1,1,0,0,0,0,1,1,1,0,3,5,2,1,1,3,10,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
114,2,1,1,2,0,0,0,1,1,1,1,1,5,4,2,1,1,5,8,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0
115,4,4,1,2,0,0,1,1,1,1,1,0,5,4,4,1,2,5,2,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0
116,4,4,2,2,0,0,1,1,1,1,0,0,4,4,3,1,1,2,2,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0
117,3,3,2,1,0,0,0,1,1,1,1,0,5,4,2,1,1,5,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0
118,1,3,3,2,1,0,1,1,1,1,1,0,5,2,4,1,4,5,20,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
119,3,4,1,1,0,0,0,0,1,1,1,0,3,4,3,1,2,4,6,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
120,1,2,1,2,0,0,0,0,0,1,1,0,3,2,3,1,2,1,2,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0
121,2,2,1,4,0,0,1,1,1,1,1,0,5,5,4,1,2,5,6,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1
122,2,4,2,2,0,0,1,1,1,1,1,1,4,2,2,1,2,5,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1
123,4,4,1,1,0,0,1,1,1,1,1,0,3,4,4,1,4,5,18,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0
124,2,2,1,2,0,0,0,0,1,1,1,1,5,4,4,1,1,5,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1
125,3,4,1,1,0,1,0,0,1,1,1,0,5,5,5,3,2,5,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0
126,3,4,1,2,0,1,0,1,1,1,1,1,5,3,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
127,0,1,1,2,3,0,1,0,0,0,0,0,3,4,2,1,1,5,2,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
128,2,2,1,1,2,0,1,1,1,1,1,0,3,3,3,1,2,4,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
129,4,4,1,1,0,0,0,1,1,1,1,0,3,5,5,2,5,4,8,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1
130,3,4,2,3,2,0,1,0,1,1,1,1,4,2,2,2,2,5,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0
131,1,1,3,1,0,0,1,1,0,1,1,1,4,3,3,1,2,4,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
132,2,2,1,1,0,0,1,0,1,1,1,1,3,4,4,1,3,5,12,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
133,3,4,1,1,0,0,0,0,1,1,1,0,3,2,1,1,4,5,16,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
134,3,4,4,2,0,0,1,0,1,1,0,1,5,3,3,1,1,5,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0
135,4,4,1,3,0,0,1,1,1,1,1,1,4,3,3,1,1,5,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0
136,3,4,3,2,0,0,0,0,1,1,0,0,5,4,5,2,4,5,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0
137,3,3,2,1,2,0,1,1,0,1,1,1,4,3,2,1,1,5,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
138,1,1,1,2,1,0,0,0,1,1,0,1,4,4,4,1,3,5,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
139,4,4,2,1,0,0,0,1,1,1,1,0,4,3,2,1,1,5,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0
140,4,3,2,4,0,1,1,0,1,1,1,0,2,2,2,1,1,3,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0
141,2,2,2,1,2,0,1,1,1,1,1,0,2,3,3,2,2,2,8,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
142,4,4,1,3,0,0,1,1,1,1,1,0,4,2,2,1,1,5,2,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1
143,1,1,1,1,0,0,0,0,1,1,1,0,3,4,4,3,3,1,2,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0
144,2,1,1,1,3,0,1,0,1,1,1,0,5,4,5,1,2,5,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
145,1,1,1,2,0,0,1,0,1,1,1,0,4,4,2,1,2,5,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1
146,3,2,1,2,3,0,1,0,1,1,1,0,3,3,2,1,1,3,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0
147,1,2,1,2,0,0,1,0,0,1,1,0,4,3,2,1,1,5,2,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1
148,4,4,1,1,0,0,1,0,1,0,1,1,3,3,2,2,1,5,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0
149,2,1,4,1,3,0,0,0,1,1,1,0,4,5,5,2,5,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
150,1,1,1,1,3,0,0,0,1,0,1,1,2,3,5,2,5,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
151,2,1,1,1,1,0,0,1,1,1,0,1,4,4,4,3,5,5,6,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
152,3,3,2,3,2,0,1,1,1,1,1,1,4,2,1,2,3,3,8,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1
153,3,2,1,1,3,0,1,0,1,0,1,1,4,5,4,1,1,4,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0
154,4,4,1,1,0,1,1,0,1,1,0,1,4,2,1,1,1,4,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0
155,2,3,1,2,0,1,0,1,1,1,0,0,4,4,4,1,1,1,2,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1
156,1,2,1,1,0,0,0,0,1,1,0,0,2,2,2,3,3,5,8,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
157,1,1,3,1,3,0,1,1,0,1,0,0,5,2,5,1,5,4,6,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0
158,2,2,3,1,0,0,0,0,0,1,0,0,4,2,2,1,2,3,2,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0
159,3,3,1,2,1,0,1,0,1,1,1,1,4,5,5,4,4,5,4,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1
160,2,1,2,1,2,0,0,1,1,0,1,1,3,3,2,2,2,5,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
161,3,2,2,2,2,1,1,0,1,1,1,1,4,4,4,1,4,3,6,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
162,1,2,2,1,1,0,0,1,1,1,0,0,4,4,4,2,4,5,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
163,1,3,1,1,0,0,0,0,1,0,1,0,5,3,3,1,4,2,2,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0
164,1,1,4,2,3,0,0,1,1,0,0,1,5,3,5,1,5,5,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
165,3,2,2,1,1,0,1,1,0,0,0,0,4,5,2,1,1,2,16,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0
166,2,2,1,2,0,0,0,0,1,0,1,0,4,3,5,2,4,4,4,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
167,4,2,1,2,0,0,0,0,1,1,1,1,4,2,3,1,1,3,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1
168,2,2,1,2,0,0,1,0,0,1,1,0,5,1,5,1,1,4,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1
169,4,4,1,2,0,0,1,0,1,1,1,1,4,4,2,1,1,3,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1
170,3,4,3,1,2,0,1,1,0,1,1,0,3,4,5,2,4,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
171,1,0,2,2,0,0,1,1,1,1,1,1,4,3,2,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
172,4,4,1,2,0,0,1,1,1,1,1,0,4,4,4,1,3,5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1
173,1,3,1,2,3,0,0,1,0,1,1,1,4,3,5,1,1,3,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0
174,3,3,2,2,0,0,1,1,1,1,1,0,4,4,5,1,1,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
175,4,3,2,2,0,0,0,1,1,1,1,0,4,4,4,4,4,4,4,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1
176,2,2,2,2,0,0,0,1,0,1,1,0,3,4,4,1,4,5,2,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1
177,3,3,1,2,0,0,0,1,0,1,1,0,4,3,4,1,4,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
178,4,2,1,1,0,0,1,1,1,1,1,1,4,3,3,3,4,3,10,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
179,4,3,1,2,0,0,1,1,1,1,1,1,5,2,3,1,1,2,4,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
180,4,3,1,2,0,0,1,1,1,1,1,0,3,4,3,2,3,3,10,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1
181,3,3,1,2,0,0,0,1,1,1,1,1,4,2,3,1,2,3,2,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1
182,2,4,1,2,0,0,1,1,1,1,0,0,5,4,2,2,3,5,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0
183,3,3,1,2,0,0,1,1,1,1,1,1,5,3,3,2,3,1,56,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
184,3,2,1,2,0,0,1,0,1,1,1,0,1,2,2,1,2,1,14,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
185,3,3,1,2,0,0,1,1,1,1,1,1,4,3,4,2,3,4,12,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
186,1,2,1,1,0,0,1,1,1,1,1,1,3,3,3,1,2,3,2,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1
187,2,1,1,2,0,0,0,1,1,1,1,1,4,2,3,1,2,5,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
188,3,3,1,2,0,0,1,0,0,1,1,1,3,3,3,1,3,3,6,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
189,1,2,1,2,0,0,0,0,1,1,0,0,3,1,3,1,5,3,4,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
190,2,3,1,2,0,0,0,0,1,1,1,0,4,3,3,1,1,2,10,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0
191,1,1,1,2,0,0,0,1,1,1,1,0,5,3,3,1,1,3,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0
192,1,2,2,2,0,0,0,1,0,1,1,0,4,4,4,4,5,5,12,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1
193,3,3,1,1,0,0,1,1,1,1,1,0,4,3,2,3,4,5,8,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0
